0,0
1,2
2,0
3,2
4,0
5,2
6,0
7,2
8,0
9,2
10,0
11,2
12,0
13,2
14,0
15,2
16,0
17,2
18,0
19,2
20,0
21,2
22,0
23,2
24,0
25,2
26,0
27,2
28,0
29,2
30,0
31,2
32,0
33,2
34,0
35,2
36,0
37,2
38,0
39,2
40,0
41,2
42,0
43,2
44,0
45,2
46,0
47,2
48,0
49,2
50,0
51,2
52,0
53,2
54,0
55,2
56,0
57,2
58,0
59,2
60,0
61,2
62,0
63,2
64,0
65,2
66,0
67,2
68,0
69,2
70,0
71,2
72,0
73,2
74,0
75,2
76,0
77,2
78,0
79,2
80,0
81,2
82,0
83,2
84,0
85,2
86,0
87,2
88,0
89,2
90,0
91,2
92,0
93,2
94,0
95,2
96,0
97,2
98,0
99,2
100,0
101,2
102,0
103,2
104,0
105,2
106,0
107,2
108,0
109,2
110,0
111,2
112,0
113,2
114,0
115,2
116,0
117,2
118,0
119,2
120,0
121,2
122,0
123,2
124,0
125,2
126,0
127,2
128,0
129,2
130,0
131,2
132,0
133,2
134,0
135,2
136,0
137,2
138,0
139,2
140,0
141,2
142,0
143,2
144,0
145,2
146,0
147,2
148,0
149,2
150,0
151,2
152,0
153,2
154,0
155,2
156,0
157,2
158,0
159,2
160,0
161,2
162,0
163,2
164,0
165,2
166,0
167,2
168,0
169,2
170,0
171,2
172,0
173,2
174,0
175,2
176,0
177,2
178,0
179,2
180,0
181,2
182,0
183,2
184,0
185,2
186,0
187,2
188,0
189,2
190,0
191,2
192,0
193,2
194,0
195,2
196,0
197,2
198,0
199,2
200,0
201,2
202,0
203,2
204,0
205,2
206,0
207,2
208,0
209,2
210,0
211,2
212,0
213,2
214,0
215,2
216,0
217,2
218,0
219,2
220,0
221,2
222,0
223,2
224,0
225,2
226,0
227,2
228,0
229,2
230,0
231,2
232,0
233,2
234,0
235,2
236,0
237,2
238,0
239,2
240,0
241,2
242,0
243,2
244,0
245,2
246,0
247,2
248,0
249,2
250,0
251,2
252,0
253,2
254,0
255,2
