0,0
1,16
2,32
3,48
4,0
5,16
6,32
7,48
8,0
9,16
10,32
11,48
12,0
13,16
14,32
15,48
16,0
17,16
18,32
19,48
20,0
21,16
22,32
23,48
24,0
25,16
26,32
27,48
28,0
29,16
30,32
31,48
32,0
33,16
34,32
35,48
36,0
37,16
38,32
39,48
40,0
41,16
42,32
43,48
44,0
45,16
46,32
47,48
48,0
49,16
50,32
51,48
52,0
53,16
54,32
55,48
56,0
57,16
58,32
59,48
60,0
61,16
62,32
63,48
64,0
65,16
66,32
67,48
68,0
69,16
70,32
71,48
72,0
73,16
74,32
75,48
76,0
77,16
78,32
79,48
80,0
81,16
82,32
83,48
84,0
85,16
86,32
87,48
88,0
89,16
90,32
91,48
92,0
93,16
94,32
95,48
96,0
97,16
98,32
99,48
100,0
101,16
102,32
103,48
104,0
105,16
106,32
107,48
108,0
109,16
110,32
111,48
112,0
113,16
114,32
115,48
116,0
117,16
118,32
119,48
120,0
121,16
122,32
123,48
124,0
125,16
126,32
127,48
128,0
129,16
130,32
131,48
132,0
133,16
134,32
135,48
136,0
137,16
138,32
139,48
140,0
141,16
142,32
143,48
144,0
145,16
146,32
147,48
148,0
149,16
150,32
151,48
152,0
153,16
154,32
155,48
156,0
157,16
158,32
159,48
160,0
161,16
162,32
163,48
164,0
165,16
166,32
167,48
168,0
169,16
170,32
171,48
172,0
173,16
174,32
175,48
176,0
177,16
178,32
179,48
180,0
181,16
182,32
183,48
184,0
185,16
186,32
187,48
188,0
189,16
190,32
191,48
192,0
193,16
194,32
195,48
196,0
197,16
198,32
199,48
200,0
201,16
202,32
203,48
204,0
205,16
206,32
207,48
208,0
209,16
210,32
211,48
212,0
213,16
214,32
215,48
216,0
217,16
218,32
219,48
220,0
221,16
222,32
223,48
224,0
225,16
226,32
227,48
228,0
229,16
230,32
231,48
232,0
233,16
234,32
235,48
236,0
237,16
238,32
239,48
240,0
241,16
242,32
243,48
244,0
245,16
246,32
247,48
248,0
249,16
250,32
251,48
252,0
253,16
254,32
255,48
